,id,atom_La,atom_Ba,atom_Sr,atom_Pr,atom_Ca,atom_Mn,atom_Fe,atom_Co,atom_Ni,atom_Cu,tsne_0,tsne_1
90,S00051,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.1631227,0.63293356
91,S00052,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.7444099,0.75229114
92,S00053,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.8,0.0,0.24818693,0.26244438
93,S00054,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.9007065,0.20726293
94,S00055,0.0,0.0,1.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.90081626,0.20728143
95,S00056,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.90069854,0.20724262
96,S00057,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.3924308,0.61432785
97,S00058,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.5164781,0.6896714
98,S00059,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.19594269,0.5528513
99,S00060,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.7181438,0.74916816
100,S00061,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.19016162,0.46056554
101,S00062,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.27322313,0.2644509
102,S00063,0.0,0.0,1.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.18485528,0.6162197
103,S00064,0.0,0.0,1.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.8068216,0.6068643
104,S00065,0.0,0.0,1.0,0.0,0.0,0.4,0.0,0.0,0.6,0.0,0.5972737,0.3574231
105,S00066,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.73698676,0.37342098
106,S00067,0.0,0.0,1.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.7527196,0.44268706
107,S00068,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.7150619,0.36548653
108,S00069,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.8,0.0,0.0,0.1016991,0.7418038
109,S00070,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.2,0.0,0.0,0.7726106,0.88028866
110,S00071,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.2,0.0,0.101653025,0.74164695
111,S00072,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.0,0.2,0.0,0.7725658,0.8802053
112,S00073,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.13489135,0.34821182
113,S00074,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.8,0.0,0.14335988,0.34916353
114,S00075,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.8,0.0,0.0,0.10169171,0.7416477
115,S00076,0.0,0.0,0.0,0.0,1.0,0.2,0.8,0.0,0.0,0.0,0.77275616,0.8802228
116,S00077,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.8,0.0,0.13728663,0.34361166
117,S00078,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.2,0.0,0.0,0.97338814,0.2815213
118,S00079,0.0,0.0,0.0,0.0,1.0,0.8,0.2,0.0,0.0,0.0,0.9734494,0.28156808
119,S00080,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.2,0.0,0.97340506,0.28141928
120,S00081,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.6,0.0,0.0,0.44754326,0.6564259
121,S00082,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.4,0.0,0.0,0.45489606,0.6582398
122,S00083,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.4,0.0,0.27252737,0.5644375
123,S00084,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.0,0.4,0.0,0.61003554,0.6931684
124,S00085,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.6,0.0,0.17509992,0.40691364
125,S00086,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.6,0.0,0.15829472,0.3556458
126,S00087,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.6,0.0,0.0,0.26257074,0.5912368
127,S00088,0.0,0.0,0.0,0.0,1.0,0.4,0.6,0.0,0.0,0.0,0.78847706,0.54059446
128,S00089,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.6,0.0,0.5329276,0.38995075
129,S00090,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.4,0.0,0.0,0.78333515,0.4156364
130,S00091,0.0,0.0,0.0,0.0,1.0,0.6,0.4,0.0,0.0,0.0,0.80179316,0.48403686
131,S00092,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,0.4,0.0,0.6858298,0.3922988
132,S00093,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.0,0.28392074,0.874145
133,S00094,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.2,0.0,0.0,0.622381,0.9131874
134,S00095,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.2,0.28311,0.8741634
135,S00096,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.2,0.6291946,0.9044045
136,S00097,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.2,0.0,0.28244314,0.87460506
137,S00098,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.2,0.0,0.6218266,0.9049492
138,S00099,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.8,0.0,0.09238343,0.23202574
139,S00100,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.8,0.0,0.092390426,0.23202093
140,S00101,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.2,0.09238908,0.23204513
141,S00102,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.8,0.0,0.0,0.28470144,0.87493366
142,S00103,0.0,0.0,0.0,1.0,0.0,0.2,0.8,0.0,0.0,0.0,0.63129085,0.9124903
143,S00104,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.8,0.0,0.09238336,0.23202027
144,S00105,0.0,0.0,0.0,1.0,0.0,0.8,0.0,0.2,0.0,0.0,0.99999845,0.38451532
145,S00106,0.0,0.0,0.0,1.0,0.0,0.8,0.2,0.0,0.0,0.0,0.9999946,0.38450864
146,S00107,0.0,0.0,0.0,1.0,0.0,0.8,0.0,0.0,0.0,0.2,1.0,0.3845148
147,S00108,0.0,0.0,0.0,1.0,0.0,0.8,0.0,0.0,0.2,0.0,0.9999964,0.38449243
