id,atom_La,atom_Ba,atom_Sr,atom_Pr,atom_Ca,atom_Mn,atom_Fe,atom_Co,atom_Ni,atom_Cu,potential,tsne_0,tsne_1
S07809,0,0.2,0.2,0.4,0.2,0.4,0,0.6,0,0,0,0.17426136,0.55252016
S07810,0,0.2,0.2,0.4,0.2,0.4,0.6,0,0,0,0,0.70754725,0.76013905
S07811,0,0.2,0.2,0.4,0.2,0.4,0,0,0.6,0,0,0.534928,0.36539063
S07812,0,0.2,0.2,0.4,0.2,0.6,0,0.4,0,0,0,0.73459125,0.5404909
S07813,0,0.2,0.2,0.4,0.2,0.6,0.4,0,0,0,0,0.690288,0.61506677
S07814,0,0.2,0.2,0.4,0.2,0.6,0,0,0.4,0,0,0.6013121,0.4005694
S07815,0.2,0.4,0.2,0,0.2,0,0.2,0.8,0,0,0,0.03631624,0.498908
S07816,0.2,0.4,0.2,0,0.2,0,0.8,0.2,0,0,0,0.50693816,0.92607397
S07817,0.2,0.4,0.2,0,0.2,0,0,0.8,0.2,0,0,0.036105584,0.49819672
S07818,0.2,0.4,0.2,0,0.2,0,0.8,0,0.2,0,0,0.5068224,0.92566293
S07819,0.2,0.4,0.2,0,0.2,0,0,0.2,0.8,0,0,0.46794727,0.031788196
S07820,0.2,0.4,0.2,0,0.2,0,0.2,0,0.8,0,0,0.46805653,0.031938896
S07821,0.2,0.4,0.2,0,0.2,0.2,0,0.8,0,0,0,0.036243845,0.4984924
S07822,0.2,0.4,0.2,0,0.2,0.2,0.8,0,0,0,0,0.50722146,0.9260802
S07823,0.2,0.4,0.2,0,0.2,0.2,0,0,0.8,0,0,0.4681465,0.0317236
S07824,0.2,0.4,0.2,0,0.2,0.8,0,0.2,0,0,0,0.8948093,0.5306792
S07825,0.2,0.4,0.2,0,0.2,0.8,0.2,0,0,0,0,0.8954858,0.5307808
S07826,0.2,0.4,0.2,0,0.2,0.8,0,0,0.2,0,0,0.8953852,0.5305602
S07827,0.2,0.4,0.2,0,0.2,0,0.4,0.6,0,0,0,0.32070702,0.64870197
S07828,0.2,0.4,0.2,0,0.2,0,0.6,0.4,0,0,0,0.39383066,0.70790607
S07829,0.2,0.4,0.2,0,0.2,0,0,0.6,0.4,0,0,0.2033012,0.2850261
S07830,0.2,0.4,0.2,0,0.2,0,0.6,0,0.4,0,0,0.48639622,0.843625
S07831,0.2,0.4,0.2,0,0.2,0,0,0.4,0.6,0,0,0.27386132,0.2266509
S07832,0.2,0.4,0.2,0,0.2,0,0.4,0,0.6,0,0,0.4714351,0.18036386
S07833,0.2,0.4,0.2,0,0.2,0.4,0,0.6,0,0,0,0.18613839,0.5232635
S07834,0.2,0.4,0.2,0,0.2,0.4,0.6,0,0,0,0,0.7137247,0.7432658
S07835,0.2,0.4,0.2,0,0.2,0.4,0,0,0.6,0,0,0.5715689,0.27713326
S07836,0.2,0.4,0.2,0,0.2,0.6,0,0.4,0,0,0,0.8001194,0.5360525
S07837,0.2,0.4,0.2,0,0.2,0.6,0.4,0,0,0,0,0.7374459,0.6672642
S07838,0.2,0.4,0.2,0,0.2,0.6,0,0,0.4,0,0,0.60768753,0.3026775
S07839,0.2,0.2,0.4,0,0.2,0,0.2,0.8,0,0,0,0.03804362,0.46441177
S07840,0.2,0.2,0.4,0,0.2,0,0.8,0.2,0,0,0,0.4683466,0.9303706
S07841,0.2,0.2,0.4,0,0.2,0,0,0.8,0.2,0,0,0.03802986,0.46450192
S07842,0.2,0.2,0.4,0,0.2,0,0.8,0,0.2,0,0,0.46849766,0.92989427
S07843,0.2,0.2,0.4,0,0.2,0,0,0.2,0.8,0,0,0.4789125,0.058298223
S07844,0.2,0.2,0.4,0,0.2,0,0.2,0,0.8,0,0,0.478957,0.058602106
S07845,0.2,0.2,0.4,0,0.2,0.2,0,0.8,0,0,0,0.037869375,0.46474317
S07846,0.2,0.2,0.4,0,0.2,0.2,0.8,0,0,0,0,0.46853617,0.9303987
S07847,0.2,0.2,0.4,0,0.2,0.2,0,0,0.8,0,0,0.47908777,0.05841431
S07848,0.2,0.2,0.4,0,0.2,0.8,0,0.2,0,0,0,0.8896098,0.49644792
S07849,0.2,0.2,0.4,0,0.2,0.8,0.2,0,0,0,0,0.889664,0.49680644
S07850,0.2,0.2,0.4,0,0.2,0.8,0,0,0.2,0,0,0.88986295,0.4963691
S07851,0.2,0.2,0.4,0,0.2,0,0.4,0.6,0,0,0,0.33227503,0.6352428
S07852,0.2,0.2,0.4,0,0.2,0,0.6,0.4,0,0,0,0.37747875,0.7141734
S07853,0.2,0.2,0.4,0,0.2,0,0,0.6,0.4,0,0,0.1938705,0.33181882
S07854,0.2,0.2,0.4,0,0.2,0,0.6,0,0.4,0,0,0.4674845,0.84490883
S07855,0.2,0.2,0.4,0,0.2,0,0,0.4,0.6,0,0,0.29968607,0.23383997
S07856,0.2,0.2,0.4,0,0.2,0,0.4,0,0.6,0,0,0.45668274,0.19937925
S07857,0.2,0.2,0.4,0,0.2,0.4,0,0.6,0,0,0,0.23857002,0.4963614
S07858,0.2,0.2,0.4,0,0.2,0.4,0.6,0,0,0,0,0.68395454,0.75550336
S07859,0.2,0.2,0.4,0,0.2,0.4,0,0,0.6,0,0,0.5558977,0.29137924
S07860,0.2,0.2,0.4,0,0.2,0.6,0,0.4,0,0,0,0.79829115,0.5179865
S07861,0.2,0.2,0.4,0,0.2,0.6,0.4,0,0,0,0,0.7495399,0.6517966
S07862,0.2,0.2,0.4,0,0.2,0.6,0,0,0.4,0,0,0.59287214,0.32139868
S07863,0.2,0.2,0.2,0,0.4,0,0.2,0.8,0,0,0,0.065753214,0.4832216
S07864,0.2,0.2,0.2,0,0.4,0,0.8,0.2,0,0,0,0.48991057,0.9541561
S07865,0.2,0.2,0.2,0,0.4,0,0,0.8,0.2,0,0,0.0658074,0.48295176
S07866,0.2,0.2,0.2,0,0.4,0,0.8,0,0.2,0,0,0.49000192,0.95386875
S07867,0.2,0.2,0.2,0,0.4,0,0,0.2,0.8,0,0,0.50241214,0.0352703
S07868,0.2,0.2,0.2,0,0.4,0,0.2,0,0.8,0,0,0.5025531,0.035501145
S07869,0.2,0.2,0.2,0,0.4,0.2,0,0.8,0,0,0,0.06609098,0.4834739
S07870,0.2,0.2,0.2,0,0.4,0.2,0.8,0,0,0,0,0.49010703,0.95427686
S07871,0.2,0.2,0.2,0,0.4,0.2,0,0,0.8,0,0,0.50263375,0.035369948
S07872,0.2,0.2,0.2,0,0.4,0.8,0,0.2,0,0,0,0.92071563,0.4994095
S07873,0.2,0.2,0.2,0,0.4,0.8,0.2,0,0,0,0,0.9210167,0.4995482
S07874,0.2,0.2,0.2,0,0.4,0.8,0,0,0.2,0,0,0.9210178,0.4992256
S07875,0.2,0.2,0.2,0,0.4,0,0.4,0.6,0,0,0,0.3353006,0.65509015
S07876,0.2,0.2,0.2,0,0.4,0,0.6,0.4,0,0,0,0.3764774,0.6995242
S07877,0.2,0.2,0.2,0,0.4,0,0,0.6,0.4,0,0,0.19063982,0.31395108
S07878,0.2,0.2,0.2,0,0.4,0,0.6,0,0.4,0,0,0.48388,0.8118952
