,id,atom_La,atom_Ba,atom_Sr,atom_Pr,atom_Ca,atom_Mn,atom_Fe,atom_Co,atom_Ni,atom_Cu,tsne_0,tsne_1
89,S00060,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.43329886,0.8754525
90,S00061,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.31245247,0.25353026
91,S00062,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.41522437,0.22171742
92,S00063,0.0,0.0,1.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.26291043,0.5046442
93,S00064,0.0,0.0,1.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.6542399,0.7587142
94,S00065,0.0,0.0,1.0,0.0,0.0,0.4,0.0,0.0,0.6,0.0,0.5374726,0.31570125
95,S00066,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.821971,0.48696655
96,S00067,0.0,0.0,1.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.7673512,0.63691926
97,S00068,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.5412213,0.32327765
98,S00069,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.8,0.0,0.0,0.109419376,0.488289
99,S00070,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.2,0.0,0.0,0.49526995,1.0
100,S00071,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.2,0.0,0.11080673,0.48450682
101,S00072,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.0,0.2,0.0,0.49538994,0.99987507
102,S00073,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.5310537,0.0028714458
103,S00074,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.8,0.0,0.53121567,0.0030141808
104,S00075,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.8,0.0,0.0,0.11244447,0.49387428
105,S00076,0.0,0.0,0.0,0.0,1.0,0.2,0.8,0.0,0.0,0.0,0.49549517,0.9999712
106,S00077,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.8,0.0,0.53123075,0.0029740217
107,S00078,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.2,0.0,0.0,0.96573174,0.48248503
108,S00079,0.0,0.0,0.0,0.0,1.0,0.8,0.2,0.0,0.0,0.0,0.96589565,0.48269567
109,S00080,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.2,0.0,0.96583384,0.4824037
110,S00081,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.6,0.0,0.0,0.35215753,0.6776787
111,S00082,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.4,0.0,0.0,0.35681155,0.6819781
112,S00083,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.4,0.0,0.17023447,0.306092
113,S00084,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.0,0.4,0.0,0.49234587,0.7802015
114,S00085,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.6,0.0,0.36932778,0.24957232
115,S00086,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.6,0.0,0.51781005,0.23615305
116,S00087,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.6,0.0,0.0,0.12230237,0.50909436
117,S00088,0.0,0.0,0.0,0.0,1.0,0.4,0.6,0.0,0.0,0.0,0.767932,0.73809403
118,S00089,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.6,0.0,0.531103,0.26029915
119,S00090,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.4,0.0,0.0,0.759686,0.5307495
120,S00091,0.0,0.0,0.0,0.0,1.0,0.6,0.4,0.0,0.0,0.0,0.78428614,0.6926237
121,S00092,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,0.4,0.0,0.63959485,0.35688144
122,S00093,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.0,0.08950867,0.66702324
123,S00094,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.2,0.0,0.0,0.25975314,0.89673305
124,S00095,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.2,0.09089232,0.6671414
125,S00096,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.2,0.2597771,0.89663655
126,S00097,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.2,0.0,0.08656806,0.6695187
127,S00098,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.2,0.0,0.2592279,0.89666945
128,S00099,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.8,0.0,0.31495598,0.08270109
129,S00100,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.8,0.0,0.3171348,0.08748251
130,S00101,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.2,0.315626,0.09297025
131,S00102,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.8,0.0,0.0,0.09620105,0.66863275
132,S00103,0.0,0.0,0.0,1.0,0.0,0.2,0.8,0.0,0.0,0.0,0.25931546,0.89207256
133,S00104,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.8,0.0,0.3078263,0.08556035
134,S00105,0.0,0.0,0.0,1.0,0.0,0.8,0.0,0.2,0.0,0.0,0.9999954,0.5894487
135,S00106,0.0,0.0,0.0,1.0,0.0,0.8,0.2,0.0,0.0,0.0,0.99999666,0.58946043
136,S00107,0.0,0.0,0.0,1.0,0.0,0.8,0.0,0.0,0.0,0.2,0.99999344,0.58946127
137,S00108,0.0,0.0,0.0,1.0,0.0,0.8,0.0,0.0,0.2,0.0,1.0,0.5894536
138,S00109,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.6,0.0,0.0,0.21279337,0.7509893
139,S00110,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.4,0.0,0.0,0.22023672,0.7651986
140,S00111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.0,0.4,0.12848009,0.7053837
141,S00112,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.4,0.22545287,0.8251624
142,S00113,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.4,0.0,0.08958815,0.70753735
143,S00114,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.4,0.0,0.21271801,0.8622666
144,S00115,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.6,0.0,0.28273347,0.12170061
145,S00116,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.0,0.6,0.0,0.30672684,0.12888014
146,S00117,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.4,0.31498054,0.10677434
147,S00118,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.6,0.0,0.0,0.11820647,0.6758752
148,S00119,0.0,0.0,0.0,1.0,0.0,0.4,0.6,0.0,0.0,0.0,0.24623974,0.86508685
149,S00120,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.0,0.6,0.0,0.28694868,0.088641375
150,S00121,0.0,0.0,0.0,1.0,0.0,0.6,0.0,0.4,0.0,0.0,0.15918,0.76317644
151,S00122,0.0,0.0,0.0,1.0,0.0,0.6,0.4,0.0,0.0,0.0,0.15669256,0.83300465
152,S00123,0.0,0.0,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.4,0.13813707,0.796979
153,S00124,0.0,0.0,0.0,1.0,0.0,0.6,0.0,0.0,0.4,0.0,0.1064593,0.8250637
154,S00125,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.07696079,0.34468073
155,S00126,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.6751876,0.8798455
156,S00127,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.07685104,0.34396857
157,S00128,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.6696436,0.8785765
158,S00129,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.07699395,0.3446709
159,S00130,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.66652113,0.87308615
160,S00131,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.67595685,0.07950813
161,S00132,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.6758921,0.078196086
162,S00133,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.6759821,0.07848312
163,S00134,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.07698087,0.3446826
164,S00135,1.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.6691535,0.8784198
165,S00136,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.0,0.6756374,0.07850895
166,S00137,1.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.8801674,0.31531012
167,S00138,1.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.8863843,0.31487057
168,S00139,1.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.8839152,0.31513327
169,S00140,1.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.8858781,0.3156295
