id,pred_avg_Pnma_uncorrected,pred_avg_Pbcm_uncorrected
S00404,0.526815334,0.481442415
S00405,0.524854873,0.48150873
S00406,0.527391554,0.488994715
S00407,0.515687935,0.48245391
S00408,0.516202436,0.484756635
S00409,0.516462182,0.48516144
S00410,0.515330674,0.48217108
S00411,0.514901685,0.48123404
S00412,0.515889885,0.48708716
S00413,0.531812675,0.484311325
S00414,0.531011469,0.48445289
S00415,0.534496208,0.491013095
S00416,0.534035987,0.48391372
S00417,0.533928962,0.4871451
S00418,0.535786313,0.49249169
S00419,0.532455046,0.48186626
S00420,0.537686506,0.48824291
S00421,0.533775896,0.4852516
S00422,0.537192743,0.49166058
S00423,0.53505972,0.4855793
S00424,0.533790195,0.487989115
S00425,0.523929845,0.48325604
S00426,0.52390517,0.4858152
S00427,0.526319435,0.489658205
S00428,0.526698731,0.48179788
S00429,0.528469707,0.48721887
S00430,0.525598803,0.490023475
S00431,0.518299039,0.481221095
S00432,0.520857496,0.4856241
S00433,0.519114804,0.481735985
S00434,0.521380147,0.487359325
S00435,0.519954948,0.487061825
S00436,0.519495047,0.486604795
S00437,0.519635098,0.481650265
S00438,0.521638463,0.486330805
S00439,0.520257259,0.486092195
S00440,0.52010878,0.48242824
S00441,0.518196508,0.484244915
S00442,0.519536383,0.485835715
S00443,0.585874172,0.522282715
S00444,0.582740341,0.52298248
S00445,0.589696116,0.52397576
S00446,0.587130374,0.52549272
S00447,0.588548924,0.522613165
S00448,0.583264403,0.5252576
S00449,0.583808803,0.517711075
S00450,0.584446528,0.521160155
S00451,0.581698178,0.522502235
S00452,0.577862438,0.520465825
S00453,0.576299262,0.5235538
S00454,0.575811786,0.519445965
S00455,0.574482766,0.52396678
S00456,0.579235579,0.5221318
S00457,0.57721193,0.52538395
S00458,0.574290397,0.518159275
S00459,0.571656086,0.51838935
S00460,0.57387445,0.51991635
S00461,0.570345588,0.5226683
S00462,0.570138268,0.52333069
S00463,0.569353006,0.52309125
S00464,0.569954885,0.523328365
S00465,0.569072905,0.5218621
S00466,0.569205138,0.5244424
S00467,0.584595896,0.52341023
S00468,0.583381223,0.52588904
S00469,0.581350663,0.52470445
S00470,0.588705037,0.52225388
S00471,0.58633695,0.52182825
S00472,0.582840641,0.52344653
S00473,0.586277094,0.5224748
S00474,0.583369197,0.518629485
S00475,0.58628107,0.52130252
S00476,0.58062334,0.5203554
S00477,0.583064033,0.52246023
S00478,0.580992579,0.51980362
S00479,0.57653741,0.52215888
S00480,0.574324603,0.523689275
S00481,0.572986899,0.52263495
S00482,0.577926743,0.520465105
S00483,0.572226748,0.51983605
S00484,0.572429076,0.52309902
S00485,0.573440415,0.523514725
S00486,0.572077601,0.52229926
S00487,0.572978423,0.52633455
S00488,0.569951558,0.5227296
S00489,0.571971412,0.52459189
S00490,0.569937481,0.52461555
S00491,0.575045782,0.52524632
S00492,0.572138991,0.52160272
S00493,0.571467107,0.525950995
S00494,0.573596474,0.52662895
S00495,0.571795864,0.5247416
S00496,0.571785047,0.5292037
S00497,0.44808768,0.466466025
S00498,0.467469172,0.49139513
S00499,0.455155841,0.467958705
S00500,0.474950704,0.49227089
S00501,0.502053527,0.49210479
S00502,0.501369125,0.491266
S00503,0.447939737,0.467934935
S00504,0.467513405,0.49063149
S00505,0.500784223,0.492700585
S00506,0.484451407,0.5036588
S00507,0.484213577,0.50356747
S00508,0.492088086,0.503493565
S00509,0.454391961,0.474469725
S00510,0.460969046,0.481667415
S00511,0.471618609,0.47746228
S00512,0.482018916,0.49387065
S00513,0.480747416,0.48202334
S00514,0.491150864,0.48984668
S00515,0.448860577,0.467324645
S00516,0.472760499,0.49483649
S00517,0.497722208,0.4975905
S00518,0.482823527,0.500975955
S00519,0.474413788,0.495902
S00520,0.489813709,0.49822304
S00521,0.449054925,0.45069118
S00522,0.462282894,0.46748051
S00523,0.451709473,0.45114316
S00524,0.464445826,0.469882025
S00525,0.476595889,0.474165525
S00526,0.477363844,0.47536068
S00527,0.448766344,0.4497029
S00528,0.462006864,0.469221625
S00529,0.475807613,0.4725831
S00530,0.489869951,0.489757015
S00531,0.489826327,0.489800405
S00532,0.492110024,0.492582665
S00533,0.457191673,0.46028901
S00534,0.45804014,0.46148603
S00535,0.45917332,0.45766804
S00536,0.465865953,0.469627115
S00537,0.464058794,0.463156925
S00538,0.476015553,0.472734255
S00539,0.450278469,0.453060345
S00540,0.470157203,0.475958285
S00541,0.480752648,0.48051728
S00542,0.47839889,0.48128095
S00543,0.475362244,0.47865607
S00544,0.482141998,0.484125045
S00545,0.448175982,0.46770715
S00546,0.467502022,0.490841255
S00547,0.455076724,0.468444635
S00548,0.475210701,0.491287425
S00549,0.502053297,0.49218592
S00550,0.502487861,0.491423605
S00551,0.448148661,0.466571435
S00552,0.467421251,0.489925475
S00553,0.501486089,0.48966594
S00554,0.484219842,0.5038303
S00555,0.484338957,0.5038219
S00556,0.491197169,0.50480048
S00557,0.454419019,0.47375058
S00558,0.461010178,0.48168341
S00559,0.472279523,0.479091375
S00560,0.48256878,0.493063985
S00561,0.481516272,0.47947221
S00562,0.491364893,0.49028595
S00563,0.448858782,0.468014965
S00564,0.472828643,0.49435923
S00565,0.497519926,0.496465015
S00566,0.482773289,0.50280839
