id,atom_La,atom_Ba,atom_Sr,atom_Pr,atom_Ca,atom_Mn,atom_Fe,atom_Co,atom_Ni,atom_Cu,potential,tsne_0,tsne_1,count,entropy,potential_initial,uncertainty_initial,potential_final,uncertainty_final
S00056,0,0,1,0,0,0.8,0,0,0.2,0,0,0.90069854,0.20724262,3,4.160345749,0.464305048,0.032498494,0.491547989,0.011244832
S00057,0,0,1,0,0,0,0.4,0.6,0,0,0,0.3924308,0.61432785,3,5.595419,0.390887298,0.034684619,0.425940684,0.009805036
S00058,0,0,1,0,0,0,0.6,0.4,0,0,0,0.5164781,0.6896714,3,5.595419,0.390694363,0.03503904,0.426769171,0.010494758
S00059,0,0,1,0,0,0,0,0.6,0.4,0,0,0.19594269,0.5528513,3,5.595419,0.375429532,0.035831121,0.419717846,0.009477023
S00060,0,0,1,0,0,0,0.6,0,0.4,0,0,0.7181438,0.74916816,3,5.595419,0.396721818,0.03740337,0.434164346,0.011796991
S00061,0,0,1,0,0,0,0,0.4,0.6,0,0,0.19016162,0.46056554,3,5.595419,0.390483658,0.035094703,0.427678479,0.009625825
S00062,0,0,1,0,0,0,0.4,0,0.6,0,0,0.27322313,0.2644509,3,5.595419,0.405481,0.034545234,0.450081191,0.010375495
S00063,0,0,1,0,0,0.4,0,0.6,0,0,0,0.18485528,0.6162197,3,5.595419,0.377555757,0.034761951,0.411667059,0.009648529
S00064,0,0,1,0,0,0.4,0.6,0,0,0,0,0.8068216,0.6068643,3,5.595419,0.418685913,0.033396794,0.450658479,0.011542764
S00065,0,0,1,0,0,0.4,0,0,0.6,0,0,0.5972737,0.3574231,3,5.595419,0.410009465,0.035106169,0.460565736,0.010218908
S00066,0,0,1,0,0,0.6,0,0.4,0,0,0,0.73698676,0.37342098,3,5.595419,0.4467107,0.031880012,0.466828554,0.010736595
S00067,0,0,1,0,0,0.6,0.4,0,0,0,0,0.7527196,0.44268706,3,5.595419,0.443531341,0.032277609,0.461242517,0.010842592
S00068,0,0,1,0,0,0.6,0,0,0.4,0,0,0.7150619,0.36548653,3,5.595419,0.41642811,0.03328424,0.466432889,0.010512896
S00069,0,0,0,0,1,0,0.2,0.8,0,0,0,0.1016991,0.7418038,3,4.160345749,0.335076619,0.037613315,0.397378166,0.009739555
S00070,0,0,0,0,1,0,0.8,0.2,0,0,0,0.7726106,0.88028866,3,4.160345749,0.375030795,0.040111777,0.425970975,0.0133696
S00071,0,0,0,0,1,0,0,0.8,0.2,0,0,0.101653025,0.74164695,3,4.160345749,0.334331431,0.037479043,0.397768233,0.009906003
S00072,0,0,0,0,1,0,0.8,0,0.2,0,0,0.7725658,0.8802053,3,4.160345749,0.373272838,0.040360501,0.426045821,0.013368406
S00073,0,0,0,0,1,0,0,0.2,0.8,0,0,0.13489135,0.34821182,3,4.160345749,0.389285943,0.038988607,0.43531298,0.010597628
S00074,0,0,0,0,1,0,0.2,0,0.8,0,0,0.14335988,0.34916353,3,4.160345749,0.389051142,0.039442213,0.435454457,0.010440006
S00075,0,0,0,0,1,0.2,0,0.8,0,0,0,0.10169171,0.7416477,3,4.160345749,0.341285097,0.039129025,0.396436429,0.009672489
S00076,0,0,0,0,1,0.2,0.8,0,0,0,0,0.77275616,0.8802228,3,4.160345749,0.385316664,0.041003176,0.42502279,0.013312677
S00077,0,0,0,0,1,0.2,0,0,0.8,0,0,0.13728663,0.34361166,3,4.160345749,0.392263612,0.041863809,0.434540414,0.010267033
S00078,0,0,0,0,1,0.8,0,0.2,0,0,0,0.97338814,0.2815213,3,4.160345749,0.452348721,0.033676337,0.489828461,0.011537266
S00079,0,0,0,0,1,0.8,0.2,0,0,0,0,0.9734494,0.28156808,3,4.160345749,0.452616591,0.033250254,0.489689196,0.011536814
S00080,0,0,0,0,1,0.8,0,0,0.2,0,0,0.97340506,0.28141928,3,4.160345749,0.451732345,0.034825457,0.4898239,0.011485915
S00081,0,0,0,0,1,0,0.4,0.6,0,0,0,0.44754326,0.6564259,3,5.595419,0.361755847,0.036293735,0.426215509,0.010403147
